#job id,arrival time (sec),topology,shape,size,duration (min)
0,0,CLOS,1.0,1.0,208958.26666666666
1,427061,CLOS,0.46,0.46,207931.65
2,1558381,CLOS,1.0,1.0,189076.31666666668
3,2690044,CLOS,0.46,0.46,170215.26666666666
4,2758084,CLOS,1.0,1.0,169081.26666666666
5,3019330,CLOS,1.0,1.0,146597.2
6,3019932,CLOS,1.0,1.0,164717.13333333333
7,4130198,CLOS,1.0,1.0,146212.7
8,4975773,CLOS,1.0,1.0,132119.78333333333
9,5182092,CLOS,1.0,1.0,80367.48333333334
10,6394537,CLOS,0.46,0.46,108473.71666666666
11,6588193,CLOS,1.0,1.0,72728.56666666667
12,6976821,CLOS,1.0,1.0,61221.45
13,8387257,CLOS,1.0,1.0,50393.316666666666
14,8396307,CLOS,1.0,1.0,75110.83333333333
15,9437497,CLOS,1.0+1.0+1.0+1.0+1.0+1.0+1.0+1.0,8.0,22205.95
16,9476974,CLOS,0.46,0.46,57099.76666666667
17,9664050,CLOS,0.47,0.47,53981.833333333336
18,9664123,CLOS,0.47,0.47,53980.6
19,9671707,CLOS,0.44,0.44,53854.2
20,9679175,CLOS,0.22,0.22,4910.85
21,9766837,CLOS,1.0,1.0,52268.71666666667
22,9818766,CLOS,1.0,1.0,51403.2
23,9823530,CLOS,0.11,0.11,6235.25
24,9924220,CLOS,1.0,1.0,679.1666666666666
25,9941376,CLOS,0.32,0.32,517.55
26,9949982,CLOS,1.0,1.0,479.5833333333333
27,9955274,CLOS,0.22,0.22,1211.6333333333334
28,9957349,CLOS,1.0,1.0,166.36666666666667
29,9961302,CLOS,1.0,1.0,550.8833333333333
30,9963454,CLOS,0.46,0.46,244.98333333333332
31,9965619,CLOS,1.0,1.0,19.216666666666665
32,9967058,CLOS,1.0,1.0,25.2
33,9970479,CLOS,1.0,1.0,18.366666666666667
34,9973579,CLOS,0.48,0.48,6.383333333333334
35,9973948,CLOS,0.05,0.05,121.65
36,9974338,CLOS,0.23,0.23,115.6
37,9980855,CLOS,0.46,0.46,359.96666666666664
38,9993395,CLOS,0.32,0.32,61.21666666666667
39,9993396,CLOS,0.32,0.32,61.18333333333333
40,9993753,CLOS,1.0,1.0,1125.0
41,9997763,CLOS,1.0,1.0,62.28333333333333
42,9999740,CLOS,1.0,1.0,1.9166666666666667
43,10000483,CLOS,1.0,1.0,30.866666666666667
44,10000836,CLOS,0.47,0.47,28.75
45,10001854,CLOS,1.0,1.0,670.85
46,10002519,CLOS,1.0,1.0,13.966666666666667
47,10002813,CLOS,1.0,1.0,18.333333333333332
48,10009222,CLOS,1.0,1.0,1.6666666666666667
49,10011081,CLOS,1.0,1.0,0.5833333333333334
50,10011398,CLOS,1.0,1.0,127.98333333333333
51,10011759,CLOS,1.0,1.0,20.283333333333335
52,10013436,CLOS,1.0,1.0,15.733333333333333
53,10013797,CLOS,1.0,1.0,15.233333333333333
54,10014736,CLOS,0.32,0.32,7.2
55,10014814,CLOS,0.46,0.46,15.483333333333333
56,10014946,CLOS,0.32,0.32,13.166666666666666
57,10015701,CLOS,0.65,0.65,3.5
58,10015833,CLOS,0.55,0.55,1.8333333333333333
59,10017643,CLOS,1.0,1.0,35.05
60,10018598,CLOS,0.47,0.47,3.5833333333333335
61,10019718,CLOS,1.0,1.0,1.15
62,10020315,CLOS,0.32,0.32,9.6
63,10022793,CLOS,1.0,1.0,18.0
64,10024695,CLOS,0.32,0.32,0.75
65,10027236,CLOS,0.16,0.16,60.233333333333334
66,10027236,CLOS,0.11,0.11,60.233333333333334
67,10027539,CLOS,0.47,0.47,1.2
68,10032059,CLOS,1.0,1.0,3.3666666666666667
69,10033656,CLOS,1.0,1.0,19.983333333333334
70,10033713,CLOS,0.46,0.46,9.983333333333333
71,10033926,CLOS,0.32,0.32,323.75
72,10035396,CLOS,1.0,1.0,15.95
73,10036115,CLOS,1.0,1.0,9.966666666666667
