#job id,arrival time (sec),topology,shape,size,duration (sec)
0,0.0,CLOS,48,48,720.0
1,5040.0,CLOS,48,48,120.0
2,5340.0,CLOS,48,48,60.0
3,5400.0,CLOS,16,16,60.0
4,5700.0,CLOS,16,16,2640.0
5,6000.0,CLOS,48,48,480.0
6,6660.0,CLOS,48,48,300.0
7,7140.0,CLOS,48,48,480.0
8,7740.0,CLOS,48,48,108720.0
9,8460.0,CLOS,16,16,720.0
10,9420.0,CLOS,16,16,4740.0
11,12540.0,CLOS,256,256,480.0
12,13320.0,CLOS,256,256,360.0
13,13920.0,CLOS,256,256,1020.0
14,15060.0,CLOS,256,256,600.0
15,15660.0,CLOS,16,16,252240.0
16,16020.0,CLOS,4,4,2160.0
17,17580.0,CLOS,256,256,138720.0
18,18960.0,CLOS,4,4,1380.0
19,20220.0,CLOS,4,4,168900.0
20,21360.0,CLOS,8,8,600.0
21,21540.0,CLOS,2,2,0.0
22,21900.0,CLOS,2,2,60.0
23,22080.0,CLOS,4,4,720.0
24,22620.0,CLOS,8,8,600.0
25,22680.0,CLOS,2,2,60.0
26,23160.0,CLOS,8,8,360.0
27,23280.0,CLOS,4,4,27540.0
28,23760.0,CLOS,8,8,120.0
29,23880.0,CLOS,8,8,540.0
30,26760.0,CLOS,2,2,120.0
31,28080.0,CLOS,2,2,420.0
32,30360.0,CLOS,16,16,84120.0
33,30720.0,CLOS,2,2,1020.0
34,32160.0,CLOS,3,3,240.0
35,32160.0,CLOS,3,3,240.0
36,32640.0,CLOS,3,3,240.0
37,32940.0,CLOS,3,3,360.0
38,32940.0,CLOS,3,3,300.0
39,33480.0,CLOS,3,3,2460.0
40,35280.0,CLOS,3,3,660.0
41,35520.0,CLOS,24,24,840.0
42,36420.0,CLOS,3,3,3000.0
43,36780.0,CLOS,6,6,2340.0
44,37500.0,CLOS,6,6,4920.0
45,41460.0,CLOS,8,8,240.0
46,41760.0,CLOS,8,8,180.0
47,43020.0,CLOS,6,6,4980.0
48,43080.0,CLOS,8,8,180.0
49,43380.0,CLOS,8,8,180.0
50,44820.0,CLOS,8,8,6840.0
51,48660.0,CLOS,6,6,480.0
52,50760.0,CLOS,9,9,600.0
53,51540.0,CLOS,9,9,300.0
54,51780.0,CLOS,8,8,180.0
55,53100.0,CLOS,9,9,300.0
56,96660.0,CLOS,64,64,60.0
57,96900.0,CLOS,64,64,0.0
58,97140.0,CLOS,64,64,2580.0
59,98400.0,CLOS,8,8,14100.0
60,99900.0,CLOS,64,64,5220.0
61,105360.0,CLOS,64,64,1560.0
62,107280.0,CLOS,64,64,270660.0
63,115080.0,CLOS,16,16,1320.0
64,116520.0,CLOS,16,16,480.0
65,117240.0,CLOS,16,16,480.0
66,117960.0,CLOS,16,16,1020.0
67,119280.0,CLOS,64,64,300.0
68,119640.0,CLOS,64,64,480.0
69,120420.0,CLOS,64,64,104220.0
70,124920.0,CLOS,8,8,13500.0
71,131220.0,CLOS,48,48,120.0
72,131520.0,CLOS,48,48,43980.0
73,132360.0,CLOS,4,4,52500.0
74,175440.0,CLOS,8,8,1800.0
75,176040.0,CLOS,8,8,11760.0
76,176280.0,CLOS,8,8,695820.0
77,177120.0,CLOS,48,48,96780.0
78,177420.0,CLOS,8,8,120.0
79,178380.0,CLOS,8,8,600.0
80,178560.0,CLOS,1,1,2160.0
81,179160.0,CLOS,8,8,180.0
82,179340.0,CLOS,32,32,240.0
83,179760.0,CLOS,8,8,600.0
84,179820.0,CLOS,32,32,600.0
85,180240.0,CLOS,16,16,300.0
86,180360.0,CLOS,4,4,3060.0
