# slice id, topology, slice shape, slice size, duration (min), probability (%)
0,T3D_NT,1x1x1,1,0,2.1
1,T3D_NT,1x1x2,2,0,0.4
2,T3D_NT,1x2x2,4,0,6.7
3,T3D_NT,2x2x2,8,0,4.7
4,T3D_NT,2x2x4,16,0,6.4
5,T3D_NT,2x4x4,32,0,8.9
6,T3D_NT,4x4x4,64,0,13.9
7,T3D_T,4x4x8,128,0,16.0
8,T3D_NT,4x4x8,128,0,1.5
9,T3D_NT,4x4x12,192,0,0.7
10,T3D_T,4x8x8,256,0,9.2
11,T3D_NT,4x8x8,256,0,1.5
12,T3D_NT,4x4x16,256,0,1.0
13,T3D_NT,4x8x12,384,0,0.1
14,T3D_NT,8x8x8,512,0,9.6
15,T3D_NT,4x8x16,512,0,1.7
16,T3D_NT,4x4x32,512,0,0.6
17,T3D_NT,8x8x12,768,0,0.7
18,T3D_T,8x8x16,1024,0,1.8
19,T3D_NT,8x8x16,1024,0,1.4
20,T3D_NT,4x16x16,1024,0,0.3
21,T3D_NT,4x4x64,1024,0,0.1
22,T3D_NT,4x8x32,1024,0,0.1
23,T3D_NT,8x12x16,1536,0,0.1
24,T3D_NT,4x4x96,1536,0,0.1
25,T3D_NT,8x8x24,1536,0,0.1
26,T3D_T,8x16x16,2048,0,1.4
27,T3D_NT,8x16x16,2048,0,0.3
28,T3D_NT,12x16x16,3072,0,5.7
29,T3D_NT,4x4x192,3072,0,0.4
